fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
7.3;0.65;0;1.2;0.065;15;21;0.9946;3.39;0.47;10;7
7.8;0.58;0.02;2;0.073;9;18;0.9968;3.36;0.57;9.5;7
8.5;0.28;0.56;1.8;0.092;35;103;0.9969;3.3;0.75;10.5;7
8.1;0.38;0.28;2.1;0.066;13;30;0.9968;3.23;0.73;9.7;7
7.5;0.52;0.16;1.9;0.085;12;35;0.9968;3.38;0.62;9.5;7
8;0.59;0.16;1.8;0.065;3;16;0.9962;3.42;0.92;10.5;7
5.2;0.48;0.04;1.6;0.054;19;106;0.9927;3.54;0.62;12.2;7
7.9;0.35;0.46;3.6;0.078;15;37;0.9973;3.35;0.86;12.8;8
10.3;0.32;0.45;6.4;0.073;5;13;0.9976;3.23;0.82;12.6;8
8.9;0.4;0.32;5.6;0.087;10;47;0.9991;3.38;0.77;10.5;7
7.7;0.27;0.68;3.5;0.358;5;10;0.9972;3.25;1.08;9.9;7
10;0.31;0.47;2.6;0.085;14;33;0.99965;3.36;0.8;10.5;7
7.9;0.33;0.23;1.7;0.077;18;45;0.99625;3.29;0.65;9.3;7
7.3;0.34;0.33;2.5;0.064;21;37;0.9952;3.35;0.77;12.1;7
7.2;0.38;0.31;2;0.056;15;29;0.99472;3.23;0.76;11.3;8
7.2;0.37;0.32;2;0.062;15;28;0.9947;3.23;0.73;11.3;7
7.8;0.32;0.44;2.7;0.104;8;17;0.99732;3.33;0.78;11;7
6.6;0.58;0.02;2;0.062;37;53;0.99374;3.35;0.76;11.6;7
5.5;0.24;0.34;1.1;0.035;49;158;0.98774;3.32;0.32;13.1;7
5.2;0.3;0.34;1.5;0.038;18;96;0.98942;3.56;0.48;13;8
6.4;0.32;0.25;5;0.055;28;138;0.99171;3.27;0.5;12.4;8
6.6;0.19;0.25;1.2;0.052;34;181;0.99352;3.3;0.42;9.4;7
7.4;0.36;0.3;1.8;0.074;17;24;0.99419;3.24;0.7;11.4;8
6.6;0.34;0.4;8.1;0.046;68;170;0.99494;3.15;0.5;9.53333333333333;7
6.6;0.34;0.4;8.1;0.046;68;170;0.99494;3.15;0.5;9.55;7
5;0.235;0.27;11.75;0.03;34;118;0.9954;3.07;0.5;9.4;7
6.7;0.23;0.31;2.1;0.046;30;96;0.9926;3.33;0.64;10.7;8
6.7;0.23;0.31;2.1;0.046;30;96;0.9926;3.33;0.64;10.7;8
7.2;0.37;0.32;2;0.062;15;28;0.9947;3.23;0.73;11.3;7
7.8;0.32;0.44;2.7;0.104;8;17;0.99732;3.33;0.78;11;7
6.6;0.58;0.02;2;0.062;37;53;0.99374;3.35;0.76;11.6;7
5.5;0.24;0.34;1.1;0.035;49;158;0.98774;3.32;0.32;13.1;7
5.2;0.3;0.34;1.5;0.038;18;96;0.98942;3.56;0.48;13;8
6.4;0.32;0.25;5;0.055;28;138;0.99171;3.27;0.5;12.4;8
6.6;0.19;0.25;1.2;0.052;34;181;0.99352;3.3;0.42;9.4;7
7.4;0.36;0.3;1.8;0.074;17;24;0.99419;3.24;0.7;11.4;8
6.6;0.34;0.4;8.1;0.046;68;170;0.99494;3.15;0.5;9.53333333333333;7
6.6;0.34;0.4;8.1;0.046;68;170;0.99494;3.15;0.5;9.55;7
5;0.235;0.27;11.75;0.03;34;118;0.9954;3.07;0.5;9.4;7
7.8;0.57;0.31;1.8;0.069;26;120;0.99625;3.29;0.53;9.3;7
12.8;0.3;0.74;2.6;0.095;9;28;0.9994;3.2;0.77;10.8;7
12.8;0.3;0.74;2.6;0.095;9;28;0.9994;3.2;0.77;10.8;7
15;0.21;0.44;2.2;0.075;10;24;1.00005;3.07;0.84;9.2;7
15;0.21;0.44;2.2;0.075;10;24;1.00005;3.07;0.84;9.2;7
11.8;0.26;0.52;1.8;0.071;6;10;0.9968;3.2;0.72;10.2;7
11;0.3;0.58;2.1;0.054;7;19;0.998;3.31;0.88;10.5;7
9.7;0.53;0.6;2;0.039;5;19;0.99585;3.3;0.86;12.4;7
9.6;0.32;0.47;1.4;0.056;9;24;0.99695;3.22;0.82;10.3;7
7.7;0.28;0.3;2;0.062;18;34;0.9952;3.28;0.9;11.3;7
8.2;0.24;0.34;5.1;0.062;8;22;0.9974;3.22;0.94;10.9;7
8.2;0.24;0.34;5.1;0.062;8;22;0.9974;3.22;0.94;10.9;7
10;0.32;0.59;2.2;0.077;3;15;0.9994;3.2;0.78;9.6;7
10;0.32;0.59;2.2;0.077;3;15;0.9994;3.2;0.78;9.6;7
7.3;0.34;0.33;2.5;0.064;21;37;0.9952;3.35;0.77;12.1;7
7.2;0.38;0.31;2;0.056;15;29;0.99472;3.23;0.76;11.3;8
7.8;0.32;0.44;2.7;0.104;8;17;0.99732;3.33;0.78;11;7
6.6;0.58;0.02;2;0.062;37;53;0.99374;3.35;0.76;11.6;7
5.5;0.24;0.34;1.1;0.035;49;158;0.98774;3.32;0.32;13.1;7
5.2;0.3;0.34;1.5;0.038;18;96;0.98942;3.56;0.48;13;8
6.4;0.32;0.25;5;0.055;28;138;0.99171;3.27;0.5;12.4;8
6.6;0.19;0.25;1.2;0.052;34;181;0.99352;3.3;0.42;9.4;7
7.4;0.36;0.3;1.8;0.074;17;24;0.99419;3.24;0.7;11.4;8
6.6;0.34;0.4;8.1;0.046;68;170;0.99494;3.15;0.5;9.53333333333333;7
6.6;0.34;0.4;8.1;0.046;68;170;0.99494;3.15;0.5;9.55;7
5;0.235;0.27;11.75;0.03;34;118;0.9954;3.07;0.5;9.4;7
7.8;0.57;0.31;1.8;0.069;26;120;0.99625;3.29;0.53;9.3;7
12.8;0.3;0.74;2.6;0.095;9;28;0.9994;3.2;0.77;10.8;7
12.8;0.3;0.74;2.6;0.095;9;28;0.9994;3.2;0.77;10.8;7
15;0.21;0.44;2.2;0.075;10;24;1.00005;3.07;0.84;9.2;7
15;0.21;0.44;2.2;0.075;10;24;1.00005;3.07;0.84;9.2;7
11.8;0.26;0.52;1.8;0.071;6;10;0.9968;3.2;0.72;10.2;7
11;0.3;0.58;2.1;0.054;7;19;0.998;3.31;0.88;10.5;7
9.7;0.53;0.6;2;0.039;5;19;0.99585;3.3;0.86;12.4;7
9.6;0.32;0.47;1.4;0.056;9;24;0.99695;3.22;0.82;10.3;7
7.7;0.28;0.3;2;0.062;18;34;0.9952;3.28;0.9;11.3;7
8.2;0.24;0.34;5.1;0.062;8;22;0.9974;3.22;0.94;10.9;7
8.2;0.24;0.34;5.1;0.062;8;22;0.9974;3.22;0.94;10.9;7
10;0.32;0.59;2.2;0.077;3;15;0.9994;3.2;0.78;9.6;7
10;0.32;0.59;2.2;0.077;3;15;0.9994;3.2;0.78;9.6;7
7.3;0.34;0.33;2.5;0.064;21;37;0.9952;3.35;0.77;12.1;7
7.2;0.38;0.31;2;0.056;15;29;0.99472;3.23;0.76;11.3;8
7.8;0.32;0.44;2.7;0.104;8;17;0.99732;3.33;0.78;11;7
6.6;0.58;0.02;2;0.062;37;53;0.99374;3.35;0.76;11.6;7
5.5;0.24;0.34;1.1;0.035;49;158;0.98774;3.32;0.32;13.1;7
5.2;0.3;0.34;1.5;0.038;18;96;0.98942;3.56;0.48;13;8
6.4;0.32;0.25;5;0.055;28;138;0.99171;3.27;0.5;12.4;8
6.6;0.19;0.25;1.2;0.052;34;181;0.99352;3.3;0.42;9.4;7
7.4;0.36;0.3;1.8;0.074;17;24;0.99419;3.24;0.7;11.4;8
6.6;0.34;0.4;8.1;0.046;68;170;0.99494;3.15;0.5;9.53333333333333;6
6.6;0.34;0.4;8.1;0.046;68;170;0.99494;3.15;0.5;9.55;6
5;0.235;0.27;11.75;0.03;34;118;0.9954;3.07;0.5;9.4;6
7.8;0.57;0.31;1.8;0.069;26;120;0.99625;3.29;0.53;9.3;5
12.8;0.3;0.74;2.6;0.095;9;28;0.9994;3.2;0.77;10.8;7
12.8;0.3;0.74;2.6;0.095;9;28;0.9994;3.2;0.77;10.8;7
15;0.21;0.44;2.2;0.075;10;24;1.00005;3.07;0.84;9.2;7
15;0.21;0.44;2.2;0.075;10;24;1.00005;3.07;0.84;9.2;7
11.8;0.26;0.52;1.8;0.071;6;10;0.9968;3.2;0.72;10.2;7
11;0.3;0.58;2.1;0.054;7;19;0.998;3.31;0.88;10.5;7
9.7;0.53;0.6;2;0.039;5;19;0.99585;3.3;0.86;12.4;6
9.6;0.32;0.47;1.4;0.056;9;24;0.99695;3.22;0.82;10.3;7
7.7;0.28;0.3;2;0.062;18;34;0.9952;3.28;0.9;11.3;7
8.2;0.24;0.34;5.1;0.062;8;22;0.9974;3.22;0.94;10.9;6
8.2;0.24;0.34;5.1;0.062;8;22;0.9974;3.22;0.94;10.9;6
10;0.32;0.59;2.2;0.077;3;15;0.9994;3.2;0.78;9.6;5
10;0.32;0.59;2.2;0.077;3;15;0.9994;3.2;0.78;9.6;5
7.3;0.34;0.33;2.5;0.064;21;37;0.9952;3.35;0.77;12.1;7
7.2;0.38;0.31;2;0.056;15;29;0.99472;3.23;0.76;11.3;8
7.8;0.32;0.44;2.7;0.104;8;17;0.99732;3.33;0.78;11;7
6.6;0.58;0.02;2;0.062;37;53;0.99374;3.35;0.76;11.6;7
5.5;0.24;0.34;1.1;0.035;49;158;0.98774;3.32;0.32;13.1;7
